upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
2896,156.6163439,17.694283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6163052,17.694283,-0.13258,-0.13681,0.0154,0.0194,15.306,0.019,15.019,0.03
2897,157.81429880000005,32.445493400000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.8142831,32.445493400000004,-0.0476,-0.11644000000000003,0.0105,0.0119,14.638,0.015,14.43,0.021
2898,157.3644867,-26.9374473,0.1326195,157.3644764,-26.937411600000004,16.686354,0.020589,-999999500.0,-999999500.0,16.410254000000002,0.06790700000000001,157.364499,-26.9374473,0.03943,-0.40086,0.0295,0.0338,16.171,0.026,16.168,0.07200000000000001
2899,156.64579819999997,7.3066674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6457491,7.3066674,-0.17535,-0.028260000000000007,0.0131,0.0147,15.118,0.017,14.781,0.025
2900,156.8563294,-16.5341959,0.7144009,156.85644230000003,-16.5340296,15.385374,0.005275,-999999500.0,-999999500.0,14.61674,0.009919,156.8562815,-16.5341959,-0.16525,-0.15644,0.0088,0.0098,14.376,0.014,14.116,0.017
2901,157.7800458,-37.6107644,0.5151457,157.7798784,-37.6107106,16.278270000000006,0.011247,-999999500.0,-999999500.0,15.337577,0.018746,157.780123,-37.610764399999994,0.2201,-0.07411000000000001,0.0113,0.0127,14.88,0.016,14.622,0.02
2902,157.3400385,16.4480984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.339795,16.4480984,-0.8405600000000001,0.33493,0.1426,0.1494,18.055,0.172,16.394000000000002,0.118
2903,156.7628364,-1.5776043,0.6087553000000001,156.76266730000003,-1.5776005,16.06155,0.006961,-999999500.0,-999999500.0,15.300478,0.019217,156.762749,-1.5776043,-0.31457,-0.0033,0.0151,0.0149,15.130999999999998,0.018000000000000002,14.904000000000002,0.027000000000000003
2904,157.6861916,-2.1821198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.6861291,-2.1821197999999997,-0.22501,-0.01505,0.0152,0.018000000000000002,15.219,0.018000000000000002,15.018,0.031
2905,157.7118312,-51.3197174,4.6573229000000005,157.709762,-51.3196821,10.931665,0.0004570000000000001,-999999500.0,-999999500.0,10.23114,0.000609,157.7118312,-51.3197174,0.0,0.0,0.0084,0.0246,16.714000000000002,,15.865,
2906,156.8192898,1.0586606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.81929509999995,1.0586606,0.01896,-0.18301,0.0138,0.0148,15.123,0.019,14.932,0.027000000000000003
2907,157.1250014,3.258514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.1249649,3.258514,-0.13109,0.0652,0.01,0.0116,14.56,0.014,14.408,0.019
2908,157.1190877,48.2384367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.11938480000003,48.2384367,0.7124699999999999,-0.15303,0.0054,0.0061,9.274,0.015,9.108,0.011
2909,157.1128999,-12.2775315,0.7653255,157.112999,-12.2773422,15.222742000000002,0.004564,14.713467,0.007471999999999999,14.586757,0.010039,157.1128494,-12.2775315,-0.17759,-0.15885,0.0091,0.0102,14.385,0.015,14.175,0.017
2910,156.5522455,-70.6439063,0.3118762,156.55205569999995,-70.64384670000003,16.910866,0.036108,-999999500.0,-999999500.0,16.346079,0.068435,156.5520614,-70.6439063,-0.21967,-0.27216,0.0186,0.0189,15.957,0.019,16.014,0.048
2911,157.3919729,12.398838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.3918335,12.398838,-0.4901100000000001,-0.35193,0.0218,0.0238,15.073,0.032,14.868,0.037000000000000005
2912,158.2868455,12.8347045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2867965,12.834704499999999,-0.17182999999999998,-0.34694,0.028,0.0321,16.045,0.031,15.888,0.068
2913,157.28276169999995,11.4538933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2828806,11.4538933,0.41958,-0.39384,0.0201,0.0246,15.612,0.027000000000000003,15.64,0.062
2914,155.60644480000005,70.8982613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6064619,70.8982613,0.02016,-0.10212,0.0069,0.0077,14.255999999999998,0.014,14.063,0.014
2915,159.23714019999997,71.180992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.235525,71.180992,-1.87572,-0.5005,0.0144,0.0178,14.876,0.015,14.783,0.025
2916,156.584531,45.7408788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.5845512,45.7408788,0.05084,-0.15891,0.0109,0.0123,14.862,0.015,14.726,0.02
2917,157.418322,9.5871431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.4181925,9.5871431,-0.45972,-0.12939,0.0226,0.0258,16.757,0.045,14.434,0.02
2918,157.7563324,28.9579379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.75643190000005,28.957937899999997,0.31338,-0.19358,0.0105,0.0119,14.912,0.016,14.737,0.024
2919,157.87767150000005,57.0890517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.87763130000005,57.0890517,-0.07862000000000001,0.174,0.0036,0.0038,8.714,0.012,8.502,0.008
2920,157.1715271,56.900375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.17161769999996,56.900375,0.17818,-0.00997,0.0187,0.0209,17.316,0.061,14.492,0.017
2921,158.2700387,-3.8349343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2699559,-3.8349343,-0.2975,-0.21048000000000006,0.0331,0.0406,17.086,0.056,15.117,0.032
2922,159.0747996,50.6754138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.07489919999998,50.6754138,0.22725,-0.20284,0.0231,0.0269,16.078,0.024,15.927,0.05
2923,158.41746469999995,-15.2463122,0.5195539,158.41761430000003,-15.2463094,17.00061,0.019942,16.069788,0.015539,15.362999,0.018158,158.4174047,-15.2463122,-0.20825,-0.0198,0.0105,0.0112,14.667,0.016,14.364,0.019
2924,158.64085930000005,14.6312739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.6408592,14.6312739,-0.00025,-0.19669,0.0133,0.0146,15.097,0.018000000000000002,14.814,0.028
2925,158.95513259999996,-43.5701027,1.1834618,158.9555751,-43.57003,14.967054,0.005308,-999999500.0,-999999500.0,14.14735,0.007999,158.9548198,-43.5701027,-0.81582,-0.0769,0.0134,0.0153,14.953,0.018000000000000002,14.71,0.022
2926,158.19524909999996,43.2391909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.195203,43.2391909,-0.12093,-0.07316,0.0373,0.0405,17.945999999999994,0.111,15.179,0.032
2927,157.34257409999995,40.2178599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.34259690000005,40.2178599,0.06271,-0.12136,0.016,0.0172,15.48,0.024,15.179,0.033
2928,158.2037283,54.3470699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2036176,54.3470699,-0.23235,-0.25666,0.022,0.0242,15.928,0.025,15.779000000000002,0.05
2929,158.8571469,-34.0677801,0.2325521,158.8572219,-34.0677979,17.060637,0.021439,-999999500.0,-999999500.0,15.559042000000002,0.024593,158.8570885,-34.0677801,-0.17401,0.00252,0.0125,0.015,15.048,0.017,14.807,0.023
